bayesCor,utteranceCor,wheelCor,negFacePosWheelBayes,negFacePosWheelFace,negFacePosWheelWheel,posFaceNegWheelBayes,posFaceNegWheelFace,posFaceNegWheelWheel,rmseBayes,rmseFace,rmseWheel,rmseNegFacePosWheelBayes,rmseNegFacePosWheelFace,rmseNegFacePosWheelWheel,rmsePosFaceNegWheelBayes,rmsePosFaceNegWheelFace,rmsePosFaceNegWheelWheel
0.742836197,0.585358871,0.676623356,0.80757978,-0.146512936,0.802042819,0.605523664,0.51870607,0.381281111,1.503966505,1.884997545,1.663827412,1.433939652,3.016892372,1.610145154,1.725753354,2.369451649,2.211330802
0.735052032,0.580188368,0.679582706,0.761001183,-0.110564283,0.771801452,0.522183397,0.411234984,0.466783914,1.469413876,1.821176783,1.56431721,1.501390281,2.884459198,1.613243824,1.752872176,2.415138745,1.773168295
0.699081413,0.561111898,0.6443324,0.814408468,-0.154196867,0.79868659,0.512642254,0.528885232,0.332419505,1.561638413,1.844303021,1.657919639,1.403014328,2.895394973,1.534135828,1.90039538,2.213042005,2.109815886
0.723662434,0.612326429,0.643973358,0.726891396,-0.016742911,0.70359654,0.563037543,0.426839448,0.541867846,1.520833207,1.744023931,1.697536387,1.516077534,2.573182523,1.924747167,1.737584337,2.438780284,1.734053156
0.680961669,0.48993464,0.657472607,0.80817208,-0.233553534,0.804505751,0.462250279,0.267033073,0.664083725,1.609221577,1.953921288,1.62604479,1.393384473,3.036748016,1.542246165,1.836439165,2.630251173,1.379216689
0.744342294,0.569359718,0.665026707,0.711392396,-0.184901642,0.737426442,0.54321757,0.406399344,0.401909968,1.446928396,1.840938125,1.603842866,1.602397429,2.973681646,1.740607011,1.690564555,2.398172873,1.809326568
0.724632974,0.551500654,0.669707089,0.803641831,-0.144884157,0.788489206,0.441682678,0.356052298,0.463443229,1.494458773,1.861754009,1.592279136,1.432587069,2.951005201,1.60881829,1.845553731,2.506637596,1.70991245
0.722139346,0.586927253,0.675387043,0.744784301,-0.079518046,0.718352235,0.406702075,0.32263897,0.598222139,1.469348608,1.707668812,1.56678305,1.466786258,2.574306152,1.774618765,1.944424073,2.417943035,1.522360811
0.722871973,0.562000688,0.643740906,0.75001211,-0.201728701,0.755021201,0.472773802,0.421584944,0.32145272,1.505882036,1.844215015,1.653857847,1.614864189,2.983596332,1.691533537,1.847999923,2.440710288,2.006125145
0.763789918,0.598094302,0.682165022,0.801461562,-0.147655386,0.799448227,0.500183645,0.398048794,0.462814765,1.416562742,1.797916387,1.618148225,1.337804956,2.88552372,1.606253425,1.883213246,2.464594875,1.861629217
0.739106592,0.564553066,0.661168589,0.781257017,-0.118034868,0.782657375,0.4560715,0.259630178,0.550849371,1.456088368,1.808996553,1.609591009,1.426630084,2.792102753,1.634407506,1.777765032,2.60869541,1.470122463
0.696983108,0.544330836,0.645994304,0.799712361,-0.135340784,0.771813285,0.510578229,0.383406516,0.45384527,1.58818913,1.886597362,1.669071677,1.295829279,2.656545397,1.663319623,1.825273214,2.60422743,1.807268725
0.711918962,0.55848078,0.629088277,0.771480166,-0.165734247,0.758337251,0.576174383,0.433358866,0.549574266,1.542115598,1.88286384,1.67584374,1.415183537,2.936298325,1.689378918,1.77579949,2.481185866,1.720251681
