"workerid","IRIPT","IRIEC","ERQApp","ERQSupp","LSAS","spinnerID","payoff1","payoff2","payoff3","prob1","prob2","prob3","win","winProb","angleProp","reactionTime","utteranceID","occludeUtterance","occludeWheel","happy","sad","anger","surprise","disgust","fear","content","disapp","EV","PE","absPE"
127,19,17,23,13,3,41,0,40,95,0.27,0.4,0.33,40,0.4,0.476,27390,9,1,0,6,2,1,4,1,1,6,3,47.35,-7.35,7.35
132,11,11,15,16,14,24,20,60,90,0.33,0.2,0.47,90,0.47,0.62,20635,3,0,1,8,1,1,7,1,1,8,1,60.9,29.1,29.1
101,15,13,24,18,12,49,50,75,90,0.3,0.52,0.18,50,0.3,0.116,27439,10,1,0,7,1,1,3,1,1,3,2,70.2,-20.2,20.2
41,14,12,16,18,11,24,20,60,90,0.33,0.2,0.47,90,0.47,0.274,11713,5,0,0,5,3,2,4,1,1,1,2,60.9,29.1,29.1
21,16,16,19,4,11,1,0,30,60,0.38,0.36,0.26,0,0.38,0.08,13059,10,1,0,1,7,9,4,8,1,1,9,26.4,-26.4,26.4
69,14,14,18,19,3,9,15,70,80,0.45,0.29,0.26,80,0.26,0.466,14333,1,1,0,9,1,1,6,1,1,9,1,47.85,32.15,32.15
82,17,14,20,13,11,32,45,60,90,0.52,0.29,0.19,60,0.29,0.472,22379,3,0,1,7,1,1,8,1,1,9,1,57.9,2.1,2.1
74,12,9,10,8,12,49,50,75,90,0.3,0.52,0.18,50,0.3,0.686,22804,1,0,0,6,3,3,9,2,5,3,6,70.2,-20.2,20.2
54,16,17,21,16,9,9,15,70,80,0.45,0.29,0.26,80,0.26,0.529,11604,1,0,0,7,1,1,7,1,1,1,1,47.85,32.15,32.15
32,20,20,21,20,8,49,50,75,90,0.3,0.52,0.18,50,0.3,0.463,20306,3,0,1,7,1,1,6,1,1,9,1,70.2,-20.2,20.2
14,11,13,22,21,11,47,55,70,85,0.28,0.51,0.21,70,0.51,0.966,202655,3,0,0,4,7,6,6,2,6,5,5,68.95,1.05,1.05
80,20,17,19,21,8,49,50,75,90,0.3,0.52,0.18,50,0.3,0.983,27315,8,1,0,7,2,1,5,1,1,4,6,70.2,-20.2,20.2
81,14,16,19,27,15,1,0,30,60,0.38,0.36,0.26,0,0.38,0.19,19244,8,1,0,1,9,8,5,8,1,1,9,26.4,-26.4,26.4
88,16,15,22,20,2,47,55,70,85,0.28,0.51,0.21,70,0.51,0.283,16357,4,1,0,7,1,1,1,1,1,6,1,68.95,1.05,1.05
45,16,18,21,10,5,14,30,50,95,0.33,0.29,0.38,50,0.29,0.378,19632,10,1,0,6,2,1,2,1,1,7,3,60.5,-10.5,10.5
56,18,13,25,16,2,9,15,70,80,0.45,0.29,0.26,80,0.26,0.535,26492,10,0,0,9,1,1,9,1,1,9,1,47.85,32.15,32.15
117,16,18,24,24,12,9,15,70,80,0.45,0.29,0.26,80,0.26,0.103,27905,9,0,0,5,5,1,5,2,2,7,5,47.85,32.15,32.15
135,9,14,19,25,12,1,0,30,60,0.38,0.36,0.26,0,0.38,0.691,60493,6,1,0,1,5,6,1,4,1,1,9,26.4,-26.4,26.4
