"workerid","IRIPT","IRIEC","ERQApp","ERQSupp","LSAS","spinnerID","payoff1","payoff2","payoff3","prob1","prob2","prob3","win","winProb","angleProp","reactionTime","utteranceID","occludeUtterance","occludeWheel","happy","sad","anger","surprise","disgust","fear","content","disapp","EV","PE","absPE"
19,14,17,16,19,2,32,45,60,90,0.52,0.29,0.19,60,0.29,0.12,15215,1,1,0,6,4,4,4,3,3,5,4,57.9,2.1,2.1
134,15,20,27,18,1,41,0,40,95,0.27,0.4,0.33,40,0.4,0.926,31349,9,0,0,3,7,2,7,7,7,3,3,47.35,-7.35,7.35
133,19,18,26,20,13,47,55,70,85,0.28,0.51,0.21,70,0.51,0.984,23267,7,1,0,7,2,1,2,1,1,6,2,68.95,1.05,1.05
33,9,15,6,11,13,9,15,70,80,0.45,0.29,0.26,80,0.26,0.179,15679,9,1,0,9,1,1,5,1,1,4,1,47.85,32.15,32.15
70,14,17,21,7,8,49,50,75,90,0.3,0.52,0.18,50,0.3,0.345,20332,5,0,1,3,2,6,1,5,1,3,9,70.2,-20.2,20.2
150,12,15,9,5,10,47,55,70,85,0.28,0.51,0.21,70,0.51,0.148,24330,6,0,1,2,4,2,1,3,1,1,9,68.95,1.05,1.05
28,9,15,21,24,6,24,20,60,90,0.33,0.2,0.47,90,0.47,0.266,28743,9,1,0,9,1,1,7,1,1,9,1,60.9,29.1,29.1
34,16,17,24,12,7,41,0,40,95,0.27,0.4,0.33,40,0.4,0.289,20896,8,0,0,3,2,6,3,1,1,3,8,47.35,-7.35,7.35
129,14,16,17,15,14,9,15,70,80,0.45,0.29,0.26,80,0.26,0.81,31522,8,0,0,9,1,1,9,1,1,8,1,47.85,32.15,32.15
115,12,13,15,19,10,12,20,45,70,0.4,0.34,0.26,70,0.26,0.556,21512,10,0,1,7,1,1,7,1,1,6,3,41.5,28.5,28.5
22,20,20,16,16,17,49,50,75,90,0.3,0.52,0.18,50,0.3,0.17,25990,3,1,0,6,2,2,4,1,1,5,4,70.2,-20.2,20.2
10,17,18,22,16,4,12,20,45,70,0.4,0.34,0.26,70,0.26,0.015,22182,6,1,0,9,1,1,9,1,1,1,1,41.5,28.5,28.5
40,12,12,28,28,0,1,0,30,60,0.38,0.36,0.26,0,0.38,0.053,24324,5,1,0,1,9,9,9,9,9,1,9,26.4,-26.4,26.4
148,14,10,18,14,9,24,20,60,90,0.33,0.2,0.47,90,0.47,0.674,13042,6,0,1,7,3,5,5,3,6,5,5,60.9,29.1,29.1
51,18,20,23,19,7,47,55,70,85,0.28,0.51,0.21,70,0.51,0.838,45630,10,0,1,2,5,2,4,2,1,5,4,68.95,1.05,1.05
29,13,16,15,20,11,32,45,60,90,0.52,0.29,0.19,60,0.29,0.336,21026,6,0,1,3,7,6,6,2,2,3,7,57.9,2.1,2.1
120,15,14,15,11,7,47,55,70,85,0.28,0.51,0.21,70,0.51,0.991,18537,6,0,1,4,2,1,3,1,6,2,3,68.95,1.05,1.05
106,15,15,20,11,11,9,15,70,80,0.45,0.29,0.26,80,0.26,0.767,20263,9,0,1,4,3,2,2,2,1,4,9,47.85,32.15,32.15
7,16,14,17,17,9,41,0,40,95,0.27,0.4,0.33,40,0.4,0.852,26358,1,0,1,5,2,2,3,1,1,7,2,47.35,-7.35,7.35
24,19,19,24,12,4,24,20,60,90,0.33,0.2,0.47,90,0.47,0.883,25237,5,1,0,9,1,1,5,1,1,9,1,60.9,29.1,29.1
146,11,12,20,13,0,1,0,30,60,0.38,0.36,0.26,0,0.38,0.557,21371,8,0,1,2,2,3,3,3,4,3,5,26.4,-26.4,26.4
71,13,5,28,17,2,24,20,60,90,0.33,0.2,0.47,90,0.47,0.931,15437,1,0,1,9,1,1,9,1,1,9,1,60.9,29.1,29.1
119,17,16,18,4,4,1,0,30,60,0.38,0.36,0.26,0,0.38,0.243,24410,7,0,0,1,9,1,9,9,1,1,9,26.4,-26.4,26.4
37,11,14,23,22,11,12,20,45,70,0.4,0.34,0.26,70,0.26,0.898,14658,10,0,0,9,1,1,8,1,1,8,1,41.5,28.5,28.5
44,17,16,25,15,6,12,20,45,70,0.4,0.34,0.26,70,0.26,0.936,51151,8,0,0,5,4,1,3,1,1,2,6,41.5,28.5,28.5
94,14,17,21,15,7,14,30,50,95,0.33,0.29,0.38,50,0.29,0.507,34344,3,1,0,7,3,1,2,1,1,3,7,60.5,-10.5,10.5
141,13,13,17,22,3,41,0,40,95,0.27,0.4,0.33,40,0.4,0.274,26644,4,1,0,5,2,1,1,1,1,5,2,47.35,-7.35,7.35
128,16,16,23,10,0,9,15,70,80,0.45,0.29,0.26,80,0.26,0.868,11757,6,0,1,3,1,1,5,1,1,1,1,47.85,32.15,32.15
143,12,11,11,15,0,9,15,70,80,0.45,0.29,0.26,80,0.26,0.383,26054,10,0,0,3,3,3,7,7,4,4,5,47.85,32.15,32.15
107,16,18,24,20,12,32,45,60,90,0.52,0.29,0.19,60,0.29,0.393,36978,3,1,0,6,4,3,5,4,1,6,4,57.9,2.1,2.1
77,14,13,23,16,4,24,20,60,90,0.33,0.2,0.47,90,0.47,0.927,21323,8,0,0,9,1,1,7,1,1,9,1,60.9,29.1,29.1
55,16,17,20,18,6,49,50,75,90,0.3,0.52,0.18,50,0.3,0.169,19997,4,1,0,6,3,1,1,1,1,7,2,70.2,-20.2,20.2
31,14,14,28,14,6,14,30,50,95,0.33,0.29,0.38,50,0.29,0.714,18380,4,0,0,8,2,2,8,2,2,8,2,60.5,-10.5,10.5
65,13,11,22,24,12,49,50,75,90,0.3,0.52,0.18,50,0.3,0.19,12089,1,0,1,8,1,1,7,1,1,1,1,70.2,-20.2,20.2
85,17,15,22,10,4,47,55,70,85,0.28,0.51,0.21,70,0.51,0.516,25220,5,0,0,3,5,6,4,6,2,3,7,68.95,1.05,1.05
53,12,17,21,11,5,9,15,70,80,0.45,0.29,0.26,80,0.26,0.583,20586,7,0,0,9,1,1,8,1,1,8,1,47.85,32.15,32.15
99,16,16,22,12,8,14,30,50,95,0.33,0.29,0.38,50,0.29,0.545,27594,6,0,0,5,4,2,7,3,4,7,5,60.5,-10.5,10.5
113,14,16,16,16,9,32,45,60,90,0.52,0.29,0.19,60,0.29,0.551,16051,5,0,0,1,6,5,5,6,1,1,1,57.9,2.1,2.1
79,16,20,24,8,6,47,55,70,85,0.28,0.51,0.21,70,0.51,0.617,36836,6,0,0,6,2,1,6,1,1,6,2,68.95,1.05,1.05
72,15,19,18,12,17,24,20,60,90,0.33,0.2,0.47,90,0.47,0.44,21317,10,0,0,9,1,1,8,1,1,7,1,60.9,29.1,29.1
97,20,20,28,7,1,24,20,60,90,0.33,0.2,0.47,90,0.47,0.559,30129,4,1,0,9,1,1,9,1,1,9,1,60.9,29.1,29.1
104,13,12,22,24,12,49,50,75,90,0.3,0.52,0.18,50,0.3,0.917,36200,10,0,0,1,9,8,8,7,7,1,9,70.2,-20.2,20.2
108,12,15,18,23,0,12,20,45,70,0.4,0.34,0.26,70,0.26,0.379,22705,1,1,0,9,1,1,9,1,1,9,1,41.5,28.5,28.5
49,19,17,24,8,5,12,20,45,70,0.4,0.34,0.26,70,0.26,0.856,16836,1,0,1,8,2,2,6,2,2,8,2,41.5,28.5,28.5
90,11,14,8,8,6,24,20,60,90,0.33,0.2,0.47,90,0.47,0.955,16814,2,0,0,8,1,1,5,1,1,5,1,60.9,29.1,29.1
73,12,12,16,16,2,41,0,40,95,0.27,0.4,0.33,40,0.4,0.8,25918,8,0,0,7,1,1,9,1,1,5,7,47.35,-7.35,7.35
11,11,13,24,22,15,47,55,70,85,0.28,0.51,0.21,70,0.51,0.131,14862,6,0,0,9,4,4,9,6,7,8,4,68.95,1.05,1.05
23,15,16,18,25,10,1,0,30,60,0.38,0.36,0.26,0,0.38,0.399,17999,4,0,1,8,2,1,8,2,2,8,1,26.4,-26.4,26.4
114,18,18,23,21,7,24,20,60,90,0.33,0.2,0.47,90,0.47,0.582,27463,4,0,0,9,1,1,8,1,1,9,1,60.9,29.1,29.1
127,19,17,23,13,3,24,20,60,90,0.33,0.2,0.47,90,0.47,0.258,15387,4,0,0,9,1,1,7,1,1,9,1,60.9,29.1,29.1
132,11,11,15,16,14,41,0,40,95,0.27,0.4,0.33,40,0.4,0.821,27525,5,1,0,6,4,3,3,2,1,5,3,47.35,-7.35,7.35
101,15,13,24,18,12,24,20,60,90,0.33,0.2,0.47,90,0.47,0.621,27938,4,1,0,8,1,1,5,1,1,4,2,60.9,29.1,29.1
41,14,12,16,18,11,9,15,70,80,0.45,0.29,0.26,80,0.26,0.002,11975,7,0,0,5,2,2,4,1,1,1,3,47.85,32.15,32.15
21,16,16,19,4,11,32,45,60,90,0.52,0.29,0.19,60,0.29,0.371,13684,4,1,0,7,1,1,6,1,1,9,4,57.9,2.1,2.1
69,14,14,18,19,3,24,20,60,90,0.33,0.2,0.47,90,0.47,0.325,12306,4,0,0,9,1,1,9,1,1,9,1,60.9,29.1,29.1
82,17,14,20,13,11,1,0,30,60,0.38,0.36,0.26,0,0.38,0.831,18773,6,0,0,1,9,6,7,2,1,1,9,26.4,-26.4,26.4
74,12,9,10,8,12,47,55,70,85,0.28,0.51,0.21,70,0.51,0.214,11865,6,0,1,1,5,2,7,9,1,1,5,68.95,1.05,1.05
54,16,17,21,16,9,41,0,40,95,0.27,0.4,0.33,40,0.4,0.356,16545,2,0,0,5,3,2,5,1,1,3,4,47.35,-7.35,7.35
32,20,20,21,20,8,14,30,50,95,0.33,0.29,0.38,50,0.29,0.615,18653,10,0,1,1,8,4,7,3,2,1,9,60.5,-10.5,10.5
14,11,13,22,21,11,24,20,60,90,0.33,0.2,0.47,90,0.47,0.154,14585,6,0,1,5,5,8,2,9,2,4,5,60.9,29.1,29.1
80,20,17,19,21,8,14,30,50,95,0.33,0.29,0.38,50,0.29,0.261,31256,7,0,0,5,7,6,1,3,1,5,9,60.5,-10.5,10.5
81,14,16,19,27,15,32,45,60,90,0.52,0.29,0.19,60,0.29,0.205,13994,7,0,1,1,9,8,1,8,1,1,9,57.9,2.1,2.1
88,16,15,22,20,2,14,30,50,95,0.33,0.29,0.38,50,0.29,0.615,27072,8,0,0,4,6,6,4,8,1,1,9,60.5,-10.5,10.5
45,16,18,21,10,5,47,55,70,85,0.28,0.51,0.21,70,0.51,0.239,17570,9,1,0,7,2,1,2,1,1,8,2,68.95,1.05,1.05
56,18,13,25,16,2,14,30,50,95,0.33,0.29,0.38,50,0.29,0.485,29649,8,1,0,6,3,3,4,3,3,5,4,60.5,-10.5,10.5
117,16,18,24,24,12,24,20,60,90,0.33,0.2,0.47,90,0.47,0.125,30217,10,0,0,6,2,2,7,2,1,5,2,60.9,29.1,29.1
135,9,14,19,25,12,16,25,60,100,0.45,0.37,0.18,25,0.45,0.003,23207,5,0,1,7,1,1,4,1,1,7,1,51.45,-26.45,26.45
96,12,13,22,10,5,14,30,50,95,0.33,0.29,0.38,50,0.29,0.641,23105,2,0,1,7,1,1,7,1,1,1,1,60.5,-10.5,10.5
48,18,20,17,9,7,41,0,40,95,0.27,0.4,0.33,40,0.4,0.023,19847,7,1,0,7,1,1,8,1,1,9,3,47.35,-7.35,7.35
52,17,17,24,15,10,47,55,70,85,0.28,0.51,0.21,70,0.51,0.619,22281,1,0,0,8,1,1,6,1,1,9,2,68.95,1.05,1.05
123,20,20,16,13,18,12,20,45,70,0.4,0.34,0.26,70,0.26,0.016,33775,7,0,1,3,3,5,5,3,1,3,7,41.5,28.5,28.5
63,15,16,19,16,5,32,45,60,90,0.52,0.29,0.19,60,0.29,0.028,30581,8,0,0,8,1,1,6,1,1,9,1,57.9,2.1,2.1
136,14,16,21,12,7,32,45,60,90,0.52,0.29,0.19,60,0.29,0.57,24859,1,0,1,6,2,2,6,3,2,6,3,57.9,2.1,2.1
46,4,4,20,8,13,9,15,70,80,0.45,0.29,0.26,80,0.26,0.593,28983,9,1,0,9,1,1,9,1,1,9,1,47.85,32.15,32.15
118,6,11,23,21,10,47,55,70,85,0.28,0.51,0.21,70,0.51,0.64,20617,7,1,0,6,3,2,4,1,1,6,2,68.95,1.05,1.05
4,19,19,17,13,3,41,0,40,95,0.27,0.4,0.33,40,0.4,0.633,32059,4,1,0,7,2,1,5,1,1,7,2,47.35,-7.35,7.35
89,18,20,21,9,8,24,20,60,90,0.33,0.2,0.47,90,0.47,0.598,15597,2,0,1,9,1,1,6,1,1,8,1,60.9,29.1,29.1
42,16,20,20,10,11,24,20,60,90,0.33,0.2,0.47,90,0.47,0.229,31889,7,0,1,1,3,1,5,7,1,1,8,60.9,29.1,29.1
139,16,15,11,25,14,32,45,60,90,0.52,0.29,0.19,60,0.29,0.019,34853,2,0,0,8,2,1,8,2,2,8,1,57.9,2.1,2.1
50,18,20,24,4,8,16,25,60,100,0.45,0.37,0.18,25,0.45,0.549,20587,4,0,1,9,1,1,9,1,1,9,1,51.45,-26.45,26.45
131,13,14,21,18,8,24,20,60,90,0.33,0.2,0.47,90,0.47,0.954,22500,8,0,1,3,4,6,6,6,1,4,8,60.9,29.1,29.1
6,16,10,20,16,10,24,20,60,90,0.33,0.2,0.47,90,0.47,0.587,13393,4,0,0,9,1,1,9,1,1,9,1,60.9,29.1,29.1
18,12,18,23,14,9,47,55,70,85,0.28,0.51,0.21,70,0.51,0.548,26006,5,1,0,8,1,1,7,1,1,6,1,68.95,1.05,1.05
145,13,12,16,21,11,14,30,50,95,0.33,0.29,0.38,50,0.29,0.43,18248,1,0,0,9,1,1,7,1,1,7,3,60.5,-10.5,10.5
57,13,13,20,14,0,41,0,40,95,0.27,0.4,0.33,40,0.4,0.876,21876,10,0,1,2,6,5,1,1,1,4,3,47.35,-7.35,7.35
36,16,15,23,15,8,24,20,60,90,0.33,0.2,0.47,90,0.47,0.541,18458,5,0,1,3,3,2,4,2,1,5,7,60.9,29.1,29.1
116,10,9,21,19,8,24,20,60,90,0.33,0.2,0.47,90,0.47,0.68,13974,6,0,1,4,3,4,3,3,2,4,3,60.9,29.1,29.1
38,17,16,28,16,3,24,20,60,90,0.33,0.2,0.47,90,0.47,0.26,9723,10,1,0,9,1,1,6,1,1,9,1,60.9,29.1,29.1
13,13,14,20,17,7,47,55,70,85,0.28,0.51,0.21,70,0.51,0.299,40224,7,0,1,1,8,8,5,7,1,1,8,68.95,1.05,1.05
102,13,15,19,16,1,41,0,40,95,0.27,0.4,0.33,40,0.4,0.459,21380,10,0,1,1,4,4,6,3,1,1,5,47.35,-7.35,7.35
20,13,17,27,15,7,32,45,60,90,0.52,0.29,0.19,60,0.29,0.022,19534,6,0,0,4,5,3,4,3,2,3,6,57.9,2.1,2.1
122,18,18,18,22,13,9,15,70,80,0.45,0.29,0.26,80,0.26,0.819,16988,7,1,0,9,1,1,8,1,1,9,1,47.85,32.15,32.15
39,16,15,21,16,6,24,20,60,90,0.33,0.2,0.47,90,0.47,0.534,26340,9,0,1,4,4,4,2,2,1,7,5,60.9,29.1,29.1
125,13,16,14,23,10,1,0,30,60,0.38,0.36,0.26,0,0.38,0.878,12390,10,0,1,1,7,2,4,7,1,2,8,26.4,-26.4,26.4
84,12,15,16,11,6,47,55,70,85,0.28,0.51,0.21,70,0.51,0.353,19966,10,0,0,5,5,5,5,5,5,5,5,68.95,1.05,1.05
17,18,20,28,5,0,24,20,60,90,0.33,0.2,0.47,90,0.47,0.617,21952,10,1,0,9,1,1,9,1,1,8,1,60.9,29.1,29.1
86,16,15,19,15,6,41,0,40,95,0.27,0.4,0.33,40,0.4,0.479,29911,10,0,0,4,4,3,6,3,7,6,3,47.35,-7.35,7.35
130,18,20,24,13,9,12,20,45,70,0.4,0.34,0.26,70,0.26,0.163,35866,7,0,0,3,7,8,4,6,1,3,8,41.5,28.5,28.5
75,10,15,22,13,8,9,15,70,80,0.45,0.29,0.26,80,0.26,0.564,32014,10,1,0,9,1,1,7,1,1,8,1,47.85,32.15,32.15
2,16,14,18,13,5,12,20,45,70,0.4,0.34,0.26,70,0.26,0.502,34265,10,0,0,5,1,1,6,2,1,5,3,41.5,28.5,28.5
111,18,16,19,24,10,32,45,60,90,0.52,0.29,0.19,60,0.29,0.114,23606,10,0,1,1,7,1,1,5,1,3,9,57.9,2.1,2.1
66,14,14,17,22,10,1,0,30,60,0.38,0.36,0.26,0,0.38,0.829,24350,4,0,0,1,9,7,7,4,2,1,9,26.4,-26.4,26.4
91,12,13,24,23,2,47,55,70,85,0.28,0.51,0.21,70,0.51,0.637,8630,9,1,0,9,1,1,9,1,1,9,1,68.95,1.05,1.05
98,16,15,22,12,9,1,0,30,60,0.38,0.36,0.26,0,0.38,0.294,38643,4,1,0,2,5,6,7,7,2,1,8,26.4,-26.4,26.4
35,15,17,17,14,0,12,20,45,70,0.4,0.34,0.26,70,0.26,0.435,32618,9,0,1,1,8,3,4,5,1,1,8,41.5,28.5,28.5
58,15,16,22,10,9,9,15,70,80,0.45,0.29,0.26,80,0.26,0.852,19907,7,1,0,9,1,1,6,1,1,8,1,47.85,32.15,32.15
15,20,20,18,7,0,9,15,70,80,0.45,0.29,0.26,80,0.26,0.477,44751,8,0,0,9,1,1,7,1,1,5,5,47.85,32.15,32.15
9,13,17,19,20,12,9,15,70,80,0.45,0.29,0.26,80,0.26,0.049,11738,2,1,0,9,1,1,9,1,1,9,1,47.85,32.15,32.15
5,18,12,20,25,5,9,15,70,80,0.45,0.29,0.26,80,0.26,0.362,26068,8,1,0,8,1,1,7,1,1,8,1,47.85,32.15,32.15
60,13,15,24,18,2,14,30,50,95,0.33,0.29,0.38,50,0.29,0.165,16871,1,0,1,8,1,1,6,1,1,6,1,60.5,-10.5,10.5
61,14,10,24,22,0,41,0,40,95,0.27,0.4,0.33,40,0.4,0.027,15431,7,1,0,5,1,1,1,1,1,6,1,47.35,-7.35,7.35
64,13,19,25,23,9,12,20,45,70,0.4,0.34,0.26,70,0.26,0.166,25242,10,0,0,8,1,1,9,1,1,9,1,41.5,28.5,28.5
103,15,12,17,19,6,14,30,50,95,0.33,0.29,0.38,50,0.29,0.129,25380,4,1,0,6,1,1,4,1,1,6,1,60.5,-10.5,10.5
137,14,17,22,13,8,24,20,60,90,0.33,0.2,0.47,90,0.47,0.671,16010,4,0,0,8,1,1,9,1,1,5,1,60.9,29.1,29.1
100,14,12,19,24,2,24,20,60,90,0.33,0.2,0.47,90,0.47,0.496,14385,7,1,0,9,1,1,9,1,1,9,1,60.9,29.1,29.1
3,18,17,24,10,9,14,30,50,95,0.33,0.29,0.38,50,0.29,0.77,22526,7,1,0,7,1,1,4,1,1,7,4,60.5,-10.5,10.5
30,9,9,22,9,9,41,0,40,95,0.27,0.4,0.33,40,0.4,0.601,47260,10,0,0,4,6,6,7,7,1,3,8,47.35,-7.35,7.35
12,18,18,17,14,3,1,0,30,60,0.38,0.36,0.26,0,0.38,0.372,22517,6,0,0,1,7,2,7,1,1,1,9,26.4,-26.4,26.4
26,17,13,23,21,12,32,45,60,90,0.52,0.29,0.19,60,0.29,0.175,53050,4,1,0,7,1,1,7,1,4,7,3,57.9,2.1,2.1
76,12,17,18,8,11,9,15,70,80,0.45,0.29,0.26,80,0.26,0.696,13350,4,1,0,9,1,1,7,1,1,9,1,47.85,32.15,32.15
25,14,14,22,20,7,41,0,40,95,0.27,0.4,0.33,40,0.4,0.114,23288,7,1,0,6,3,3,3,3,2,7,3,47.35,-7.35,7.35
126,16,17,26,12,6,16,25,60,100,0.45,0.37,0.18,25,0.45,0.23,16483,4,0,0,6,3,2,2,4,1,6,5,51.45,-26.45,26.45
68,17,12,20,8,1,12,20,45,70,0.4,0.34,0.26,70,0.26,0.083,18043,8,1,0,9,1,1,7,1,1,8,1,41.5,28.5,28.5
109,13,14,18,14,13,41,0,40,95,0.27,0.4,0.33,40,0.4,0.301,38337,9,0,0,4,4,4,3,5,2,3,5,47.35,-7.35,7.35
47,13,12,16,19,8,47,55,70,85,0.28,0.51,0.21,70,0.51,0.331,26131,10,0,1,4,4,4,4,3,1,4,4,68.95,1.05,1.05
93,15,19,21,12,6,9,15,70,80,0.45,0.29,0.26,80,0.26,0.365,27450,6,0,0,5,1,1,3,1,1,5,5,47.85,32.15,32.15
43,12,12,24,24,15,24,20,60,90,0.33,0.2,0.47,90,0.47,0.995,42519,6,0,1,7,6,5,5,5,6,5,4,60.9,29.1,29.1
142,14,17,14,14,4,9,15,70,80,0.45,0.29,0.26,80,0.26,0.823,29380,4,0,1,8,1,1,9,1,1,4,1,47.85,32.15,32.15
59,16,8,23,25,3,14,30,50,95,0.33,0.29,0.38,50,0.29,0.503,21718,10,0,0,4,3,3,5,1,1,2,6,60.5,-10.5,10.5
121,9,18,21,16,2,9,15,70,80,0.45,0.29,0.26,80,0.26,0.111,12232,7,1,0,9,1,1,8,1,1,9,1,47.85,32.15,32.15
144,15,18,20,23,15,16,25,60,100,0.45,0.37,0.18,25,0.45,0.271,25904,4,0,0,6,1,1,8,1,1,6,2,51.45,-26.45,26.45
27,11,9,21,27,13,1,0,30,60,0.38,0.36,0.26,0,0.38,0.476,17649,1,0,0,5,1,1,2,1,1,5,6,26.4,-26.4,26.4
78,11,9,18,19,16,9,15,70,80,0.45,0.29,0.26,80,0.26,0.54,17015,8,1,0,9,1,1,9,1,1,1,1,47.85,32.15,32.15
149,14,14,19,7,2,1,0,30,60,0.38,0.36,0.26,0,0.38,0.262,20001,1,0,0,1,4,1,5,2,1,1,6,26.4,-26.4,26.4
124,14,11,20,23,11,9,15,70,80,0.45,0.29,0.26,80,0.26,0.067,19138,4,0,1,7,1,1,6,1,1,5,1,47.85,32.15,32.15
105,16,13,21,13,6,9,15,70,80,0.45,0.29,0.26,80,0.26,0.943,20886,10,0,0,7,1,1,8,1,1,7,1,47.85,32.15,32.15
112,19,19,24,12,6,9,15,70,80,0.45,0.29,0.26,80,0.26,0.925,22224,10,0,0,2,7,4,8,7,3,2,8,47.85,32.15,32.15
16,13,16,18,24,7,14,30,50,95,0.33,0.29,0.38,50,0.29,0.009,18824,10,0,1,2,4,3,5,2,3,1,5,60.5,-10.5,10.5
1,13,12,19,17,9,12,20,45,70,0.4,0.34,0.26,70,0.26,0.02,12921,10,1,0,9,1,1,1,1,1,9,1,41.5,28.5,28.5
92,15,16,21,20,9,16,25,60,100,0.45,0.37,0.18,25,0.45,0.041,48381,1,0,1,6,2,2,6,2,2,6,2,51.45,-26.45,26.45
138,14,13,18,19,6,16,25,60,100,0.45,0.37,0.18,25,0.45,0.291,27368,8,0,0,3,5,5,2,3,1,3,5,51.45,-26.45,26.45
87,20,19,23,23,8,47,55,70,85,0.28,0.51,0.21,70,0.51,0.155,31280,4,1,0,7,1,1,5,1,1,1,3,68.95,1.05,1.05
8,20,20,4,22,0,24,20,60,90,0.33,0.2,0.47,90,0.47,0.89,35124,5,0,0,5,5,5,5,5,1,5,5,60.9,29.1,29.1
110,15,13,20,15,9,1,0,30,60,0.38,0.36,0.26,0,0.38,0.377,13330,6,0,1,5,5,5,5,5,1,5,5,26.4,-26.4,26.4
95,13,13,20,18,9,9,15,70,80,0.45,0.29,0.26,80,0.26,0.594,13567,10,0,0,1,7,3,6,8,1,6,8,47.85,32.15,32.15
67,7,15,19,19,14,9,15,70,80,0.45,0.29,0.26,80,0.26,0.883,25501,2,1,0,9,1,1,8,1,1,9,1,47.85,32.15,32.15
140,13,13,17,18,8,47,55,70,85,0.28,0.51,0.21,70,0.51,0.656,23323,7,1,0,8,2,2,4,1,1,9,3,68.95,1.05,1.05
147,11,14,18,10,7,9,15,70,80,0.45,0.29,0.26,80,0.26,0.894,16336,2,0,0,9,1,1,7,1,1,9,1,47.85,32.15,32.15
83,15,15,16,14,3,47,55,70,85,0.28,0.51,0.21,70,0.51,0.408,30741,10,1,0,9,1,1,9,1,1,8,1,68.95,1.05,1.05
62,14,13,16,17,2,16,25,60,100,0.45,0.37,0.18,25,0.45,0.374,12292,10,0,0,5,3,2,6,1,1,6,4,51.45,-26.45,26.45
19,14,17,16,19,2,24,20,60,90,0.33,0.2,0.47,90,0.47,0.229,19184,4,1,0,9,2,2,7,3,3,9,4,60.9,29.1,29.1
134,15,20,27,18,1,9,15,70,80,0.45,0.29,0.26,80,0.26,0.465,48690,1,1,0,9,1,1,9,1,1,9,1,47.85,32.15,32.15
133,19,18,26,20,13,1,0,30,60,0.38,0.36,0.26,0,0.38,0.714,32454,6,0,1,1,8,2,5,4,1,1,8,26.4,-26.4,26.4
33,9,15,6,11,13,14,30,50,95,0.33,0.29,0.38,50,0.29,0.02,17154,8,0,1,1,5,5,4,2,1,1,9,60.5,-10.5,10.5
70,14,17,21,7,8,1,0,30,60,0.38,0.36,0.26,0,0.38,0.727,18054,10,1,0,1,9,9,6,8,1,7,9,26.4,-26.4,26.4
150,12,15,9,5,10,12,20,45,70,0.4,0.34,0.26,70,0.26,0.938,34585,5,0,0,4,1,1,7,1,1,4,2,41.5,28.5,28.5
28,9,15,21,24,6,16,25,60,100,0.45,0.37,0.18,25,0.45,0.532,33594,1,0,1,6,4,1,5,1,1,4,7,51.45,-26.45,26.45
34,16,17,24,12,7,32,45,60,90,0.52,0.29,0.19,60,0.29,0.812,28465,2,1,0,5,3,1,4,1,1,6,3,57.9,2.1,2.1
129,14,16,17,15,14,16,25,60,100,0.45,0.37,0.18,25,0.45,0.578,24753,5,0,1,2,6,7,5,4,1,2,9,51.45,-26.45,26.45
115,12,13,15,19,10,16,25,60,100,0.45,0.37,0.18,25,0.45,0.354,20796,5,0,1,6,5,6,5,6,1,4,7,51.45,-26.45,26.45
22,20,20,16,16,17,12,20,45,70,0.4,0.34,0.26,70,0.26,0.561,15326,6,1,0,9,1,1,9,1,1,9,1,41.5,28.5,28.5
10,17,18,22,16,4,16,25,60,100,0.45,0.37,0.18,25,0.45,0.567,16512,7,0,0,2,6,6,3,7,1,1,8,51.45,-26.45,26.45
40,12,12,28,28,0,12,20,45,70,0.4,0.34,0.26,70,0.26,0.853,28058,7,0,1,1,9,9,9,9,9,1,9,41.5,28.5,28.5
148,14,10,18,14,9,32,45,60,90,0.52,0.29,0.19,60,0.29,0.761,12628,1,0,0,5,5,5,4,5,5,5,5,57.9,2.1,2.1
51,18,20,23,19,7,24,20,60,90,0.33,0.2,0.47,90,0.47,0.541,48560,5,0,1,2,8,5,4,5,3,6,3,60.9,29.1,29.1
29,13,16,15,20,11,12,20,45,70,0.4,0.34,0.26,70,0.26,0.869,16280,10,0,1,1,7,6,6,5,1,1,9,41.5,28.5,28.5
120,15,14,15,11,7,24,20,60,90,0.33,0.2,0.47,90,0.47,0.115,15797,1,1,0,3,1,2,4,3,1,1,2,60.9,29.1,29.1
106,15,15,20,11,11,12,20,45,70,0.4,0.34,0.26,70,0.26,0.138,15664,5,0,0,9,1,1,4,1,1,1,1,41.5,28.5,28.5
7,16,14,17,17,9,12,20,45,70,0.4,0.34,0.26,70,0.26,0.719,19114,10,1,0,7,1,1,5,1,1,5,1,41.5,28.5,28.5
24,19,19,24,12,4,32,45,60,90,0.52,0.29,0.19,60,0.29,0.944,30365,2,0,0,6,2,1,5,1,1,7,3,57.9,2.1,2.1
146,11,12,20,13,0,12,20,45,70,0.4,0.34,0.26,70,0.26,0.967,21936,4,0,0,8,2,6,5,2,2,7,2,41.5,28.5,28.5
71,13,5,28,17,2,9,15,70,80,0.45,0.29,0.26,80,0.26,0.191,13918,8,1,0,9,1,1,9,1,1,9,1,47.85,32.15,32.15
119,17,16,18,4,4,47,55,70,85,0.28,0.51,0.21,70,0.51,0.229,17638,4,0,1,9,1,1,9,1,1,9,1,68.95,1.05,1.05
37,11,14,23,22,11,24,20,60,90,0.33,0.2,0.47,90,0.47,0.581,15848,1,0,0,9,1,1,9,1,1,9,1,60.9,29.1,29.1
