bayesCor,faceCor,wheelCor,negFacePosWheelBayes,negFacePosWheelFace,negFacePosWheelWheel,posFaceNegWheelBayes,posFaceNegWheelFace,posFaceNegWheelWheel,rmseBayes,rmseFace,rmseWheel,rmseNegFacePosWheelBayes,rmseNegFacePosWheelFace,rmseNegFacePosWheelWheel,rmsePosFaceNegWheelBayes,rmsePosFaceNegWheelFace,rmsePosFaceNegWheelWheel
0.826162184,0.752127446,0.699150015,0.579161187,0.345234675,0.474282303,0.675432124,0.699558768,0.304825054,1.168833181,1.331332961,1.504985893,1.652274201,1.771855249,2.291992464,1.414062003,1.831505091,2.021834663
0.820685061,0.742996373,0.690227361,0.583816644,0.356729777,0.482661603,0.692433734,0.726979112,0.272103073,1.186297666,1.356910967,1.519673098,1.660030933,1.780608087,2.276565488,1.462788942,1.72920979,2.120214615
0.805134798,0.718288406,0.682469911,0.560430763,0.314637956,0.449338101,0.696617051,0.751493675,0.195687574,1.240249179,1.423260548,1.531328275,1.69378891,1.800603513,2.268841792,1.479699862,1.700598092,2.194776668
0.807534475,0.733113073,0.692729614,0.607492948,0.29373834,0.518537038,0.664107691,0.65843497,0.316633764,1.244788393,1.403998832,1.543181392,1.648011655,1.996021229,2.2525422,1.556037261,1.978378785,2.056371511
0.807086895,0.721022102,0.700304813,0.460471816,0.404290842,0.327191285,0.604708916,0.609319567,0.273266912,1.237985879,1.425675208,1.495476424,1.853198516,1.745998302,2.464529211,1.625231891,2.053799491,2.094262045
0.810422702,0.734047752,0.688417158,0.530385362,0.415763886,0.417157797,0.629177842,0.702720917,0.210753118,1.216851608,1.375935898,1.515798332,1.768642102,1.720221405,2.352322408,1.589993706,1.810664416,2.250147364
0.812850341,0.748344902,0.675393207,0.520799978,0.466696122,0.382430942,0.721556565,0.698474114,0.339821027,1.20279173,1.337943099,1.551914898,1.733472178,1.621199208,2.399499091,1.383167959,1.802655917,2.02485593
0.817197897,0.730804175,0.690550216,0.670198977,0.230472147,0.535439979,0.677614934,0.701465889,0.274331963,1.201416491,1.402836579,1.525719982,1.48833869,2.097144727,2.157378355,1.394258722,1.766005422,2.018933154
0.811163661,0.73987239,0.691436865,0.407773133,0.391236677,0.304803186,0.642801119,0.707865836,0.289588609,1.210006418,1.351699443,1.504862586,1.975784461,1.723545651,2.523371241,1.449312739,1.787567659,2.006393489
0.82291353,0.742662593,0.697804938,0.624642379,0.303751609,0.518467299,0.720077163,0.746345844,0.250461878,1.204875914,1.391796808,1.546714752,1.616803655,2.001128067,2.276936085,1.384580503,1.684700281,2.205686101
0.830558862,0.741724423,0.702755815,0.631223923,0.381516483,0.497554722,0.742372283,0.65258766,0.367861142,1.143113398,1.337294494,1.469312919,1.582843281,1.730250422,2.219627198,1.269108992,1.936093159,1.904744043
0.798394786,0.717997449,0.698874154,0.482795559,0.37230845,0.394063797,0.730431332,0.659414654,0.378940905,1.268415433,1.43696894,1.510783166,1.891229938,1.796697644,2.411381221,1.358053966,1.9357957,1.868715325
0.815525904,0.750535961,0.680425735,0.533629217,0.434433216,0.408896923,0.699857494,0.737048715,0.247720152,1.221900851,1.352681786,1.558331006,1.82607854,1.787599659,2.426166055,1.448498444,1.756500167,2.177379462
