"workerid","spinnerID","payoff1","payoff2","payoff3","prob1","prob2","prob3","win","winProb","angleProp","happy","sad","anger","surprise","disgust","fear","content","disapp"
51,46,55,70,85,0.26,0.53,0.21,55,0.26,0.413,7,1,2,6,2,2,4,7
55,10,20,45,70,0.43,0.39,0.18,20,0.43,0.628,4,3,3,6,6,5,7,8
86,25,15,50,75,0.21,0.36,0.43,15,0.21,0.317,3,6,8,8,6,1,1,9
85,11,20,45,70,0.41,0.35,0.24,45,0.35,0.583,9,1,1,8,1,1,6,1
45,32,45,60,90,0.52,0.29,0.19,60,0.29,0.847,7,2,1,6,1,1,8,3
8,31,45,60,90,0.54,0.3,0.16,45,0.54,0.878,6,4,2,4,2,1,5,6
4,23,20,60,90,0.34,0.22,0.44,60,0.22,0.935,7,4,3,5,2,1,6,4
82,20,25,45,80,0.26,0.32,0.42,45,0.32,0.275,5,5,5,5,1,1,5,5
28,27,15,50,75,0.25,0.38,0.37,75,0.37,0.427,7,1,1,7,1,1,1,1
20,5,10,35,75,0.515,0.3,0.185,35,0.3,0.234,7,2,1,1,1,1,7,2
38,7,15,70,80,0.47,0.28,0.25,15,0.47,0.193,3,6,5,1,1,1,2,7
11,48,55,70,85,0.25,0.52,0.23,85,0.23,0.997,8,1,1,7,1,1,9,1
60,26,15,50,75,0.24,0.4,0.36,50,0.4,0.573,6,5,6,4,3,4,6,4
100,23,20,60,90,0.34,0.22,0.44,60,0.22,0.324,6,2,1,7,1,1,7,3
47,20,25,45,80,0.26,0.32,0.42,45,0.32,0.417,9,1,1,9,1,1,6,1
1,11,20,45,70,0.41,0.35,0.24,45,0.35,0.964,5,7,3,6,5,2,5,5
39,49,50,75,90,0.3,0.52,0.18,50,0.3,0.856,5,4,2,1,1,1,5,5
23,37,20,50,90,0.28,0.19,0.53,20,0.28,0.144,5,2,1,7,1,1,4,7
40,6,10,35,75,0.5,0.32,0.18,75,0.18,0.253,9,1,1,6,1,1,9,1
32,35,30,50,90,0.41,0.24,0.35,50,0.24,0.151,7,1,1,5,1,1,1,1
74,21,25,45,80,0.3,0.3,0.4,80,0.4,0.124,9,1,1,7,1,1,9,1
26,36,30,50,90,0.39,0.25,0.36,90,0.36,0.662,8,1,1,4,1,1,8,1
37,46,55,70,85,0.26,0.53,0.21,55,0.26,0.376,5,2,1,3,2,1,5,5
25,46,55,70,85,0.26,0.53,0.21,55,0.26,0.309,6,1,1,6,3,1,8,3
88,40,0,40,95,0.27,0.38,0.35,0,0.27,0.7,1,9,9,5,7,8,1,9
67,5,10,35,75,0.515,0.3,0.185,35,0.3,0.783,5,3,3,4,1,1,5,3
65,37,20,50,90,0.28,0.19,0.53,20,0.28,0.755,2,6,5,4,4,3,3,8
44,10,20,45,70,0.43,0.39,0.18,20,0.43,0.935,5,1,1,5,2,1,4,6
99,27,15,50,75,0.25,0.38,0.37,75,0.37,0.79,9,1,1,6,1,1,7,1
58,4,10,35,75,0.5,0.31,0.19,10,0.5,0.731,3,3,3,2,2,1,2,8
63,33,45,60,90,0.5,0.3,0.2,90,0.2,0.38,9,1,1,9,1,1,9,1
21,22,20,60,90,0.32,0.16,0.52,20,0.32,0.39,3,6,8,8,6,4,3,9
95,39,20,50,90,0.32,0.18,0.5,90,0.5,0.71,8,2,1,6,1,1,7,1
71,48,55,70,85,0.25,0.52,0.23,85,0.23,0.635,9,1,1,7,1,1,9,1
13,27,15,50,75,0.25,0.38,0.37,75,0.37,0.082,9,1,1,6,1,1,9,1
9,23,20,60,90,0.34,0.22,0.44,60,0.22,0.12,7,2,1,5,1,1,5,1
31,34,30,50,90,0.43,0.23,0.34,30,0.43,0.227,5,2,1,2,1,1,5,3
49,32,45,60,90,0.52,0.29,0.19,60,0.29,0.658,5,2,2,5,1,1,1,5
94,37,20,50,90,0.28,0.19,0.53,20,0.28,0.94,2,6,5,8,6,5,7,4
97,49,50,75,90,0.3,0.52,0.18,50,0.3,0.091,4,3,2,5,1,1,4,4
33,2,0,30,60,0.42,0.31,0.27,30,0.31,0.764,9,1,1,9,1,1,1,1
36,14,30,50,95,0.33,0.29,0.38,50,0.29,0.071,9,2,1,6,1,1,7,1
46,34,30,50,90,0.43,0.23,0.34,30,0.43,0.116,6,2,2,6,1,1,1,5
90,37,20,50,90,0.28,0.19,0.53,20,0.28,0.323,2,6,3,4,2,2,4,7
93,39,20,50,90,0.32,0.18,0.5,90,0.5,0.277,7,1,1,7,1,1,7,1
41,27,15,50,75,0.25,0.38,0.37,75,0.37,0.189,9,1,1,7,1,1,9,1
16,4,10,35,75,0.5,0.31,0.19,10,0.5,0.784,4,6,3,2,4,2,3,7
84,9,15,70,80,0.45,0.29,0.26,80,0.26,0.202,9,1,1,9,1,1,9,1
76,19,25,45,80,0.31,0.32,0.37,25,0.31,0.423,6,3,2,5,1,1,4,6
17,37,20,50,90,0.28,0.19,0.53,20,0.28,0.839,2,3,2,6,4,1,2,8
6,29,40,65,100,0.38,0.34,0.28,65,0.34,0.997,6,5,3,5,1,1,6,8
15,44,10,50,75,0.58,0.24,0.18,50,0.24,0.172,7,3,2,6,3,1,5,4
42,19,25,45,80,0.31,0.32,0.37,25,0.31,0.003,7,1,2,9,1,9,4,1
72,33,45,60,90,0.5,0.3,0.2,90,0.2,0.81,9,1,1,7,1,1,9,1
50,39,20,50,90,0.32,0.18,0.5,90,0.5,0.139,9,1,1,3,2,1,7,1
2,16,25,60,100,0.45,0.37,0.18,25,0.45,0.707,3,5,5,5,6,1,2,8
43,39,20,50,90,0.32,0.18,0.5,90,0.5,0.656,9,1,1,3,1,1,9,1
61,47,55,70,85,0.28,0.51,0.21,70,0.51,0.55,9,1,1,3,1,1,9,1
81,1,0,30,60,0.38,0.36,0.26,0,0.38,0.527,4,6,7,6,6,2,1,6
77,37,20,50,90,0.28,0.19,0.53,20,0.28,0.974,4,7,5,6,6,2,3,8
70,34,30,50,90,0.43,0.23,0.34,30,0.43,0.931,7,1,1,5,1,1,5,4
89,31,45,60,90,0.54,0.3,0.16,45,0.54,0.024,3,6,1,2,1,1,2,6
78,34,30,50,90,0.43,0.23,0.34,30,0.43,0.493,6,4,4,4,4,4,4,6
56,20,25,45,80,0.26,0.32,0.42,45,0.32,0.589,5,3,1,2,1,1,5,3
34,25,15,50,75,0.21,0.36,0.43,15,0.21,0.913,1,5,8,7,6,1,1,6
12,12,20,45,70,0.4,0.34,0.26,70,0.26,0.584,9,1,1,9,1,1,9,1
96,5,10,35,75,0.515,0.3,0.185,35,0.3,0.83,5,2,1,4,2,1,5,4
98,41,0,40,95,0.27,0.4,0.33,40,0.4,0.533,8,2,1,6,1,1,8,1
91,17,25,60,100,0.42,0.38,0.2,60,0.38,0.013,6,1,1,6,1,1,6,7
3,27,15,50,75,0.25,0.38,0.37,75,0.37,0.792,9,1,1,4,1,1,9,1
22,26,15,50,75,0.24,0.4,0.36,50,0.4,0.95,6,5,1,4,1,1,6,5
64,4,10,35,75,0.5,0.31,0.19,10,0.5,0.836,7,1,1,9,1,1,1,1
53,35,30,50,90,0.41,0.24,0.35,50,0.24,0.941,4,2,1,3,1,1,1,2
30,29,40,65,100,0.38,0.34,0.28,65,0.34,0.62,6,2,1,5,1,1,7,4
7,48,55,70,85,0.25,0.52,0.23,85,0.23,0.927,9,1,1,8,1,1,9,1
29,16,25,60,100,0.45,0.37,0.18,25,0.45,0.194,1,9,9,4,9,9,9,9
