"workerid","IRIPT","IRIEC","ERQApp","ERQSupp","LSAS","spinnerID","payoff1","payoff2","payoff3","prob1","prob2","prob3","win","winProb","angleProp","reactionTime","faceID","faceValence","faceArousal","occludeFace","occludeWheel","happy","sad","anger","surprise","disgust","fear","content","disapp","EV","PE","absPE"
181,12,13,16,23,17,32,45,60,90,0.52,0.29,0.19,60,0.29,0.073,18228,29,-3,4,0,1,1,1,8,1,8,1,1,6,57.9,2.1,2.1
150,17,16,23,8,4,1,0,30,60,0.38,0.36,0.26,0,0.38,0.511,21139,35,3,4,1,0,2,7,3,6,5,1,3,8,26.4,-26.4,26.4
354,16,16,23,14,8,24,20,60,90,0.33,0.2,0.47,90,0.47,0.113,59289,29,-3,4,0,0,3,2,6,8,6,6,6,3,60.9,29.1,29.1
108,10,16,20,21,6,9,15,70,80,0.45,0.29,0.26,80,0.26,0.399,21413,1,-3,0,0,0,2,2,8,4,3,3,3,6,47.85,32.15,32.15
311,12,16,20,13,10,47,55,70,85,0.28,0.51,0.21,70,0.51,0.853,13239,29,-3,4,1,0,1,8,7,5,7,6,1,9,68.95,1.05,1.05
80,14,18,27,9,4,47,55,70,85,0.28,0.51,0.21,70,0.51,0.346,20408,7,3,0,0,0,8,1,1,1,1,1,6,1,68.95,1.05,1.05
433,20,16,28,18,6,41,0,40,95,0.27,0.4,0.33,40,0.4,0.377,34326,1,-3,0,0,0,1,7,3,1,1,1,1,8,47.35,-7.35,7.35
283,14,13,22,12,12,47,55,70,85,0.28,0.51,0.21,70,0.51,0.369,24421,4,0,0,1,0,8,1,1,8,1,1,4,2,68.95,1.05,1.05
77,17,13,24,15,9,41,0,40,95,0.27,0.4,0.33,40,0.4,0.578,12255,29,-3,4,0,1,1,1,9,1,1,1,1,1,47.35,-7.35,7.35
292,16,15,25,16,12,12,20,45,70,0.4,0.34,0.26,70,0.26,0.441,34028,7,3,0,0,1,6,2,1,4,2,1,6,2,41.5,28.5,28.5
440,20,19,25,13,6,9,15,70,80,0.45,0.29,0.26,80,0.26,0.186,12678,32,0,4,1,0,9,1,1,8,1,1,9,1,47.85,32.15,32.15
27,13,11,20,21,5,47,55,70,85,0.28,0.51,0.21,70,0.51,0.795,15234,7,3,0,1,0,8,1,1,3,1,1,9,1,68.95,1.05,1.05
430,19,19,25,13,8,32,45,60,90,0.52,0.29,0.19,60,0.29,0.002,15684,29,-3,4,0,1,1,3,8,7,8,1,1,7,57.9,2.1,2.1
261,15,6,20,13,5,24,20,60,90,0.33,0.2,0.47,90,0.47,0.538,10831,1,-3,0,0,1,2,1,1,1,1,1,1,4,60.9,29.1,29.1
344,7,11,9,17,18,49,50,75,90,0.3,0.52,0.18,50,0.3,0.828,22118,1,-3,0,0,1,1,3,5,1,4,1,1,5,70.2,-20.2,20.2
281,20,20,26,13,4,32,45,60,90,0.52,0.29,0.19,60,0.29,0.692,29440,29,-3,4,0,1,1,2,7,6,8,1,1,9,57.9,2.1,2.1
346,13,11,20,15,12,16,25,60,100,0.45,0.37,0.18,25,0.45,0.377,18128,35,3,4,0,1,9,1,1,9,1,1,9,1,51.45,-26.45,26.45
146,14,16,24,15,14,24,20,60,90,0.33,0.2,0.47,90,0.47,0.648,12895,29,-3,4,1,0,9,1,1,9,1,1,9,1,60.9,29.1,29.1
408,11,11,13,24,9,41,0,40,95,0.27,0.4,0.33,40,0.4,0.965,17255,32,0,4,1,0,5,2,1,3,1,1,5,6,47.35,-7.35,7.35
380,14,17,26,14,10,9,15,70,80,0.45,0.29,0.26,80,0.26,0.291,17384,7,3,0,1,0,9,1,1,9,1,1,9,1,47.85,32.15,32.15
65,15,16,20,9,3,49,50,75,90,0.3,0.52,0.18,50,0.3,0.898,10952,35,3,4,1,0,5,5,4,5,5,4,4,4,70.2,-20.2,20.2
294,13,13,23,18,7,1,0,30,60,0.38,0.36,0.26,0,0.38,0.251,17115,4,0,0,0,1,6,1,1,8,1,1,6,1,26.4,-26.4,26.4
382,12,16,23,12,4,49,50,75,90,0.3,0.52,0.18,50,0.3,0.019,18962,32,0,4,1,0,5,3,1,2,2,2,6,4,70.2,-20.2,20.2
434,10,20,20,10,9,49,50,75,90,0.3,0.52,0.18,50,0.3,0.203,32518,1,-3,0,1,0,1,8,6,5,8,1,1,9,70.2,-20.2,20.2
67,11,13,18,12,6,49,50,75,90,0.3,0.52,0.18,50,0.3,0.443,15265,1,-3,0,0,0,3,1,1,2,1,1,1,1,70.2,-20.2,20.2
11,12,10,8,24,15,41,0,40,95,0.27,0.4,0.33,40,0.4,0.575,48917,1,-3,0,0,0,3,7,7,1,8,1,3,9,47.35,-7.35,7.35
148,14,14,20,15,5,41,0,40,95,0.27,0.4,0.33,40,0.4,0.574,18286,4,0,0,0,0,4,5,5,3,1,1,1,1,47.35,-7.35,7.35
208,17,20,23,7,14,16,25,60,100,0.45,0.37,0.18,25,0.45,0.136,18044,7,3,0,0,1,6,1,1,1,1,1,2,2,51.45,-26.45,26.45
205,11,10,24,24,1,12,20,45,70,0.4,0.34,0.26,70,0.26,0.802,20040,4,0,0,1,0,9,1,1,7,1,1,4,1,41.5,28.5,28.5
185,10,10,28,4,1,9,15,70,80,0.45,0.29,0.26,80,0.26,0.167,36910,29,-3,4,1,0,9,1,1,9,1,1,1,1,47.85,32.15,32.15
168,13,14,24,9,3,32,45,60,90,0.52,0.29,0.19,60,0.29,0.377,17263,29,-3,4,0,1,1,9,9,9,9,8,1,9,57.9,2.1,2.1
219,15,20,24,8,3,16,25,60,100,0.45,0.37,0.18,25,0.45,0.194,32596,7,3,0,0,0,5,1,1,4,1,1,6,1,51.45,-26.45,26.45
